,Class of Rating,Name,Rating Score,Review Number,URL
275,,One-Bedroom on Washington Street Apt 305,,,http://booking.com/hotel/us/one-bedroom-on-washington-street-apt-305.html#hotelTmpl
276,Very Good,Archstone Modernity,8.1,"2,805 reviews",http://booking.com/hotel/us/archstone-modernity.html#hotelTmpl
277,Good,Two-Bedroom on Hamilton Place Apt 301,7.9,8 reviews,http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-301.html#hotelTmpl
278,Good,Two Bedroom Apartment in Downtown Boston by STARS of Boston,7.3,28 reviews,http://booking.com/hotel/us/two-bedroom-apartment-in-china-town-near-tufts-by-stars-of-boston.html#hotelTmpl
279,Review score,Apartment by Tufts Medical by STARS of Boston,6.6,10 reviews,http://booking.com/hotel/us/apartment-by-tufts-medical-by-stars-of-boston.html#hotelTmpl
280,Good,94 Charles Street by Short Term Rentals Boston,7.5,37 reviews,http://booking.com/hotel/us/marlborough-st-unit-1-furnished-back-bay-2-bed.html#hotelTmpl
281,Good,Four-Bedroom on Hamilton Place Apt 507,7.8,47 reviews,http://booking.com/hotel/us/four-bedroom-on-hamilton-place-apt-507.html#hotelTmpl
282,,Bluebird Suites at Van Ness,,,http://booking.com/hotel/us/bluebird-suites-at-van-ness.html#hotelTmpl
283,Very Good,DoubleTree Club by Hilton Hotel Boston Bayside,8.0,734 reviews,http://booking.com/hotel/us/doubletree-club-bayside.html#hotelTmpl
284,,Egleston Square Condo Jamaica Plain,,,http://booking.com/hotel/us/egleston-square-condo-jamaica-plain.html#hotelTmpl
285,,One-Bedroom on D Street Apt 348,,,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-348.html#hotelTmpl
286,Excellent,The Michelle 1,8.8,6 reviews,http://booking.com/hotel/us/the-michelle.html#hotelTmpl
287,Good,One-Bedroom on Arch Street Apt 3C,7.0,15 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-arch-street-3c.html#hotelTmpl
288,Good,Boston Huge 1 BR Best Location (H2B),7.6,112 reviews,http://booking.com/hotel/us/boston-huge-1-br-best-location-h2b.html#hotelTmpl
289,,One-Bedroom on D Street Apt 246,,,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-246.html#hotelTmpl
290,Excellent,Beacon Hill Hotel,8.7,130 reviews,http://booking.com/hotel/us/beacon-hill.html#hotelTmpl
291,Excellent,Residence Inn by Marriott Boston Downtown Seaport,8.9,84 reviews,http://booking.com/hotel/us/residence-inn-by-marriott-boston-downtown-seaport.html#hotelTmpl
292,Very Good,Back Bay Studio by STARS of Boston,8.5,5 reviews,http://booking.com/hotel/us/back-bay-studio.html#hotelTmpl
293,,One-Bedroom on Washington Street Apt 205,10,,http://booking.com/hotel/us/one-bedroom-apartment-on-washington-street-205.html#hotelTmpl
294,Good,One-Bedroom on Newbury Street Apt 32,7.8,12 reviews,http://booking.com/hotel/us/one-bedroom-apartment-newbury-street.html#hotelTmpl
295,Good,Reggie's Place,7.9,21 reviews,http://booking.com/hotel/us/t-amp-e-realty.html#hotelTmpl
296,Awesome,Boston Best One Bedroom Duplex (H2C),9.1,9 reviews,http://booking.com/hotel/us/boston-best-one-bedroom-duplex-h2c.html#hotelTmpl
297,Excellent,One-Bedroom on Harrison Avenue Apt 206,9.2,72 reviews,http://booking.com/hotel/us/bright-south-end-1br-w-47-gym-pool.html#hotelTmpl
298,,Oakwood Lofts at Atlantic Wharf,,,http://booking.com/hotel/us/lofts-at-atlantic-wharf.html#hotelTmpl
299,Very Good,Two-Bedroom on Tremont Street Apt 6,8.1,11 reviews,http://booking.com/hotel/us/two-bedroom-apartment-tremont-street.html#hotelTmpl
300,Very Good,West End Hideaway,10,"1,986 reviews",http://booking.com/hotel/us/west-end-hideaway.html#hotelTmpl
301,Good,One-Bedroom on Newbury Street Apt 42,7.6,112 reviews,http://booking.com/hotel/us/226-newbury-street-apartment.html#hotelTmpl
302,Excellent,The Boxer,8.6,575 reviews,http://booking.com/hotel/us/bulfinch.html#hotelTmpl
303,Very Good,Boston Best Furnished Studio (H2A),8.1,32 reviews,http://booking.com/hotel/us/boston-best-furnished-studio-h2a.html#hotelTmpl
304,Excellent,Global Luxury Suites at Boston Common,8.9,12 reviews,http://booking.com/hotel/us/luxury-apartments-in-boston-39-s-theatre-district.html#hotelTmpl
305,,One-Bedroom on Brookline Avenue Apt 405,9.2,,http://booking.com/hotel/us/one-bedroom-on-brookline-avenue-apt-405.html#hotelTmpl
306,Very Good,Bluebird Suites at Boylston,8.4,62 reviews,http://booking.com/hotel/us/bluebird-suites-at-boylston.html#hotelTmpl
307,Very Good,102 Chandler Street by Lyon Apartments,8.4,11 reviews,http://booking.com/hotel/us/102-chandler-st.html#hotelTmpl
308,Good,Chestnut Hill Ave Studio by STARS of Boston,7.5,15 reviews,http://booking.com/hotel/us/chestnut-hill-studio-by-stars-of-boston.html#hotelTmpl
309,,One-Bedroom on Beacon Street Apt 208,5.4,,http://booking.com/hotel/us/two-bedroom-apartment-on-beacon-st208.html#hotelTmpl
310,Excellent,Charlesview Suites Back Bay,8.9,24 reviews,http://booking.com/hotel/us/charlesview-suites-back-bay.html#hotelTmpl
311,Excellent,Global Luxury Suites at Mission Hill,8.8,"2,190 reviews",http://booking.com/hotel/us/global-luxury-suites-at-mission-hill.html#hotelTmpl
312,Very Good,One-Bedroom on N Margin Street Apt 1,9.6,205 reviews,http://booking.com/hotel/us/one-bedroom-on-n-margin-street-apt-1.html#hotelTmpl
313,Very Good,Apartments on Newbury Street,8.2,10 reviews,http://booking.com/hotel/us/studio-apartments-on-newbury-street.html#hotelTmpl
314,Review score,237 Northampton Street by Short Term Rentals Boston,6.7,12 reviews,http://booking.com/hotel/us/237-northampton-street-by-short-term-rentals-boston.html#hotelTmpl
315,Very Good,One-Bedroom on Beacon Street Apt 204,8.3,7 reviews,http://booking.com/hotel/us/two-bedroom-apartment-on-beacon-street-204.html#hotelTmpl
316,,One-Bedroom on Beacon Street Apt 202,10,,http://booking.com/hotel/us/two-bedroom-apartment-on-beacon-street-202.html#hotelTmpl
317,Very Good,The Beacon on Massachusetts Avenue Condo,8.1,"1,150 reviews",http://booking.com/hotel/us/the-beacon-on-massachusetts-avenue-condo.html#hotelTmpl
318,Good,One-Bedroom on Boylston Street Apt 11,7.1,6 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-boylston-street-11.html#hotelTmpl
319,Excellent,Studio on Arch Street Apt 3B,9.6,8 reviews,http://booking.com/hotel/us/studio-on-arch-street-3b.html#hotelTmpl
320,,Bay State in the Back Bay Condo,,,http://booking.com/hotel/us/bay-state-in-the-back-bay-condo.html#hotelTmpl
321,Review score,Quarters on DOT by Short Term Rentals Boston,6.9,415 reviews,http://booking.com/hotel/us/quarters-on-dorchester-by-short-term-rentals-boston.html#hotelTmpl
322,Excellent,Global Luxury Suites at Boston Garden,8.7,85 reviews,http://booking.com/hotel/us/global-luxury-suites-at-boston-garden.html#hotelTmpl
323,,Family Apartment In Front Of The Subway with One Parking Spot,,,http://booking.com/hotel/us/cool-place-in-front-the-subway-1-parking-spot.html#hotelTmpl
324,Very Good,"enVision Hotel Boston - Longwood, an Ascend Hotel Collection Member",8.3,171 reviews,http://booking.com/hotel/us/hotel-south-huntington-avenue-boston.html#hotelTmpl
325,Very Good,One-Bedroom on Arch Street Apt 4C,8.1,8 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-arch-street-4c.html#hotelTmpl
326,Very Good,2 Bedroom House in Brighton,8.1,113 reviews,http://booking.com/hotel/us/2-bedroom-house-in-brighton.html#hotelTmpl
327,Very Good,Apartments on Beacon Street,8.0,29 reviews,http://booking.com/hotel/us/new-modern-1br-near-t-in-brookline.html#hotelTmpl
328,Good,John Jeffries House,7.9,89 reviews,http://booking.com/hotel/us/john-jeffries-house-boston.html#hotelTmpl
329,Excellent,Global Luxury Suites at Seaport,8.9,84 reviews,http://booking.com/hotel/us/global-luxury-suites-at-the-convention-center.html#hotelTmpl
330,Exceptional,Super Location 2 Bedroom by the Green Line with Parking Spot,9.6,8 reviews,http://booking.com/hotel/us/super-location-2br-47-1bath-1-parking-spot.html#hotelTmpl
331,,Sawyer on Jones Hill Condo,,,http://booking.com/hotel/us/sawyer-on-jones-hill-condo.html#hotelTmpl
332,Very Good,One-Bedroom on Arch Street Apt 5A,8.5,7 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-arch-street-5a.html#hotelTmpl
333,Very Good,Monument Square Home on Bunker Hill Home,8.2,12 reviews,http://booking.com/hotel/us/monument-square-home-on-bunker-hill-home.html#hotelTmpl
334,Review score,One-Bedroom on Warrenton Street Apt 16,6.9,9 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-warrenton-street-16.html#hotelTmpl
335,Excellent,One-Bedroom on D Street Apt 234,8.6,72 reviews,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-234.html#hotelTmpl
336,Awesome,XV Beacon Hotel,9.2,62 reviews,http://booking.com/hotel/us/fifteen-beacon.html#hotelTmpl
337,,Alameda 2 at Weld Farm Condo,,,http://booking.com/hotel/us/alameda-2-at-weld-farm-condo.html#hotelTmpl
338,Good,Two-Bedroom on Western Avenue Apt N301,7.5,5 reviews,http://booking.com/hotel/us/two-bedroom-apartment-on-western-avenue-n301.html#hotelTmpl
339,Very Good,Stunning 2 Bedroom Apartment by Boston University with Parking,8.2,12 reviews,http://booking.com/hotel/us/stunning-apt-bybu-2br-47-1full-bath-private-parking.html#hotelTmpl
340,Excellent,Two-Bedroom on E Springfield Street Apt 2,8.7,85 reviews,http://booking.com/hotel/us/two-bedroom-on-e-springfield-street-apt-2.html#hotelTmpl
341,,Two-Bedroom on Hamilton Place Apt 403,,,http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-403.html#hotelTmpl
342,Awesome,One-Bedroom on Warrenton Street Apt 3,9.0,"2,023 reviews",http://booking.com/hotel/us/one-bedroom-apartment-on-warrenton-street-3.html#hotelTmpl
343,Review score,One-Bedroom on Boylston Street Apt 10,6.9,10 reviews,http://booking.com/hotel/us/one-bedroom-apartment-boylston-street.html#hotelTmpl
344,,Roseclair at Upham's Corner Apts,,,http://booking.com/hotel/us/roseclair-at-uphams-corner-apts.html#hotelTmpl
345,,Studio on Newbury Street Apt 41,10,,http://booking.com/hotel/us/studio-apartments-on-newbury-street-41.html#hotelTmpl
346,Very Good,Taylor House Bed and Breakfast,8.2,49 reviews,http://booking.com/hotel/us/taylor-house-bed-and-breakfast.html#hotelTmpl
347,,Two-Bedroom on Washington Street Apt 403,2.5,,http://booking.com/hotel/us/two-bedroom-apartment-on-washington-street-403.html#hotelTmpl
348,,Grand View on Jones Hill Condo,,,http://booking.com/hotel/us/grand-view-on-jones-hill-condo.html#hotelTmpl
349,Excellent,The Michelle 2,8.8,6 reviews,http://booking.com/hotel/us/the-michelle-2.html#hotelTmpl
350,Good,One-Bedroom on Warrenton Street Apt 2,7.3,136 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-warrenton-street-2.html#hotelTmpl
351,Very Good,Beech Glen Street 3BR/2BA,8.4,62 reviews,http://booking.com/hotel/us/beech-glen-street-53.html#hotelTmpl
352,,Affordable Studio with One Free Parking Spot,,,http://booking.com/hotel/us/affordable-studio-sleeps-6-one-free-parking-spot.html#hotelTmpl
353,Excellent,Residence Inn by Marriott Boston Harbor on Tudor Wharf,8.6,251 reviews,http://booking.com/hotel/us/residence-inn-boston-harbor-on-tudor-wharf.html#hotelTmpl
354,,Sky View on Jones Hill Condo,,,http://booking.com/hotel/us/sky-view-on-jones-hill-condo.html#hotelTmpl
355,,Studio on Arch Street Apt 2A,,,http://booking.com/hotel/us/studio-on-arch-street-2a.html#hotelTmpl
356,,One-Bedroom on Bay State Road Apt 3R,7.9,,http://booking.com/hotel/us/apartment-on-bay-state-road-3r.html#hotelTmpl
357,Excellent,Luxury Apartments in Watermark Seaport near BCEC by LYX Suites,8.7,32 reviews,http://booking.com/hotel/us/luxury-suite-in-bcec-seaport-by-lyx-boston.html#hotelTmpl
358,,Dorset at Upham's Corner Condo,,,http://booking.com/hotel/us/dorset-at-uphams-corner-condo.html#hotelTmpl
359,Excellent,ARTlab DX,8.6,5 reviews,http://booking.com/hotel/us/hamilton-crossing.html#hotelTmpl
360,Very Good,Allston Red House 1 Bed Apartment by RoyalStreet,8.3,91 reviews,http://booking.com/hotel/us/allston-red-house-1-bed.html#hotelTmpl
361,Excellent,Boston Marriott Long Wharf,8.6,302 reviews,http://booking.com/hotel/us/boston-marriott-long-wharf.html#hotelTmpl
362,Good,652 Massachusetts Avenue by Short Term Rentals Boston,7.3,10 reviews,http://booking.com/hotel/us/652-massachusetts-avenue-by-short-term-rentals-boston.html#hotelTmpl
363,Very Good,Shawmut In Ashmont Village Condo,8.5,5 reviews,http://booking.com/hotel/us/shawmut-in-ashmont-village-condo.html#hotelTmpl
364,Good,"Cozy, Patio, Pool, and Whole Foods",7.1,9 reviews,http://booking.com/hotel/us/cozy-patio-pool-and-whole-foods.html#hotelTmpl
365,Good,Holiday Inn Express Hotel and Suites Boston TD Garden,7.7,337 reviews,http://booking.com/hotel/us/holiday-inn-express-suites-boston.html#hotelTmpl
366,Good,Two-Bedroom on Commonwealth Avenue Apt 1314,7.5,299 reviews,http://booking.com/hotel/us/two-bedroom-on-commonwealth-avenue-apt-1314.html#hotelTmpl
367,,Mayhew at Upham's Corner Apts,,,http://booking.com/hotel/us/mayhew-at-uphams-corner-apts.html#hotelTmpl
368,,Oakwood at Devonshire,,,http://booking.com/hotel/us/oakwood-at-devonshire.html#hotelTmpl
369,Exceptional,Moroccan Luxury Suites,9.6,51 reviews,http://booking.com/hotel/us/moroccan-luxury-suites.html#hotelTmpl
370,,Two-Bedroom on Western Avenue Apt N322,,,http://booking.com/hotel/us/apartment-on-western-avenue-n322.html#hotelTmpl
371,Good,784 Tremont Street by Short Term Rentals Boston,7.2,23 reviews,http://booking.com/hotel/us/784-tremont-street-by-short-term-rentals-boston.html#hotelTmpl
372,Awesome,"Marriott Vacation Club Pulse at Custom House, Boston",9.1,46 reviews,http://booking.com/hotel/us/marriott-s-custom-house.html#hotelTmpl
373,Very Good,16 E. Springfield Street by Short Term Rentals Boston,8.0,17 reviews,http://booking.com/hotel/us/16-e-springfield-street-by-short-term-rentals-boston.html#hotelTmpl
374,Excellent,Chandler Studios,8.7,98 reviews,http://booking.com/hotel/us/chandler-studios.html#hotelTmpl
375,Very Good,Three-Bedroom on Washington Street Apt 4,8.3,157 reviews,http://booking.com/hotel/us/apartment-on-washington-street-4.html#hotelTmpl
376,,One-Bedroom on Beacon Street Apt 205,9.5,,http://booking.com/hotel/us/one-bedroom-apartment-on-beacon-st205.html#hotelTmpl
377,Very Good,One-Bedroom on Chestnut Hill Avenue Apt 19,8.1,32 reviews,http://booking.com/hotel/us/one-bedroom-on-chestnut-hill-avenue-apt-19.html#hotelTmpl
378,Good,Apartments on Western Avenue,7.8,11 reviews,http://booking.com/hotel/us/apartments-on-n-harvard-street-n308.html#hotelTmpl
379,Good,One-Bedroom on Washington Street Apt 5,7.6,7 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-washington-street-5.html#hotelTmpl
380,Very Good,The Longfellow Lookout,8.1,253 reviews,http://booking.com/hotel/us/the-longfellow-lookout.html#hotelTmpl
381,Excellent,Studio on Arch Street Apt 5B,8.8,72 reviews,http://booking.com/hotel/us/studio-on-arch-street-5b.html#hotelTmpl
382,Awesome,Two-Bedroom on Western Avenue Apt N314,10,200 reviews,http://booking.com/hotel/us/apartment-on-western-avenue-n314.html#hotelTmpl
383,Excellent,One-Bedroom on Warrenton Street Apt 18,8.6,"1,212 reviews",http://booking.com/hotel/us/one-bedroom-apartment-on-warrenton-street-18.html#hotelTmpl
384,Excellent,Bird's Eye View,9.6,"5,657 reviews",http://booking.com/hotel/us/birds-eye-view-boston.html#hotelTmpl
385,Very Good,"Relax n ""think"" about next business",8.5,765 reviews,http://booking.com/hotel/us/relax-n-quot-think-quot-about-next-business.html#hotelTmpl
386,Excellent,Royal Street Studio Apartment by RoyalStreet,8.8,10 reviews,http://booking.com/hotel/us/royal-street-studio.html#hotelTmpl
387,Review score,One-Bedroom on Boylston Street Apt 8,6.0,7 reviews,http://booking.com/hotel/us/one-bedroom-apartment-on-boylston-street-8-boston.html#hotelTmpl
388,Very Good,One-Bedroom on Beacon Street Apt 714,8.1,13 reviews,http://booking.com/hotel/us/pristine-brookline-1br-w-47-gym-near-t.html#hotelTmpl
389,Good,One-Bedroom on Arch Street Apt 4D,7.9,12 reviews,http://booking.com/hotel/us/apartment-on-arch-street-4d.html#hotelTmpl
390,Review score,Three-Bedroom on Western Avenue Apt S501,6.5,8 reviews,http://booking.com/hotel/us/three-bedroom-apartment-on-western-avenue-s501.html#hotelTmpl
391,,Two-Bedroom on Western Avenue Apt N306,,,http://booking.com/hotel/us/apartment-on-western-avenue-n306.html#hotelTmpl
392,Exceptional,Little Pearl,9.8,6 reviews,http://booking.com/hotel/us/little-pearl.html#hotelTmpl
393,Good,Oakwood at Watermark Seaport,7.3,136 reviews,http://booking.com/hotel/us/watermark-seaport.html#hotelTmpl
394,Very Good,Bluebird Suites at West End,8.2,172 reviews,http://booking.com/hotel/us/bluebird-suites-at-west-end.html#hotelTmpl
395,Review score,The Ledder House 5,6.7,21 reviews,http://booking.com/hotel/us/the-ledder-house-5.html#hotelTmpl
396,Exceptional,Brighton Retreat,9.6,8 reviews,http://booking.com/hotel/us/brighton-retreat-boston.html#hotelTmpl
397,Good,Zakim's View,7.3,136 reviews,http://booking.com/hotel/us/zakims-view.html#hotelTmpl
398,Review score,Oakwood at 234 Newbury,6.9,204 reviews,http://booking.com/hotel/us/234-newbury.html#hotelTmpl
399,,One-Bedroom on Chestnut Hill Avenue Apt 9,,,http://booking.com/hotel/us/one-bedroom-on-chestnut-hill-avenue-apt-9.html#hotelTmpl
400,Excellent,Guild Street Townhouse,8.8,6 reviews,http://booking.com/hotel/us/guild-street-townhouse.html#hotelTmpl
401,Very Good,Beautiful Bunker Hill 2 Bd,10,172 reviews,http://booking.com/hotel/us/beautiful-bunker-hill-2-bd.html#hotelTmpl
402,Good,Renovated Apartment Near Airport,7.7,811 reviews,http://booking.com/hotel/us/boston.html#hotelTmpl
403,,One-Bedroom on Arch Street Apt 1B,,,http://booking.com/hotel/us/one-bedroom-apartment-on-arch-street-1b.html#hotelTmpl
404,,Colbyco at Andrew Square,,,http://booking.com/hotel/us/colbyco-at-andrew-square.html#hotelTmpl
405,,COZY&HOMEY 2BR APT! 1 FullBath & 1 free parking,,,http://booking.com/hotel/us/cozy-amp-homey-2br-apt-1-fullbath-amp-1-free-parking.html#hotelTmpl
406,,Copenger street 5BR/3BA,,,http://booking.com/hotel/us/copenger-street-5br-47-3ba.html#hotelTmpl
407,,301 on Washington Apts,,,http://booking.com/hotel/us/301-on-washington-apts.html#hotelTmpl
408,,206 on Washington Apts,,,http://booking.com/hotel/us/206-on-washington-apts.html#hotelTmpl
409,,201 on Washington Apts,,,http://booking.com/hotel/us/201-on-washington-apts.html#hotelTmpl
410,Excellent,North End Enchanted Cottage,8.6,"1,360 reviews",http://booking.com/hotel/us/north-end-enchanted-cottage.html#hotelTmpl
